cusip,ric,Company Common Name,trbc_economic_sector,trbc_business_sector,trbc_industry_group,trbc_industry
002535201,RNT.F^L10,PROG Holdings Inc,Technology,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech)
002535300,,,,,,
002567105,ABAX.OQ^H18,Abaxis Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology
00258W108,AAN.N^J24,Aaron's Company Inc,Financials,Banking & Investment Services,Banking Services,Consumer Lending
00258Y104,ABX.N,Abacus Global Management Inc,Financials,Insurance,Insurance,Multiline Insurance & Brokers
00258Y112,ABLLW.OQ^H25,Abacus Global Management Inc,Financials,Insurance,Insurance,Multiline Insurance & Brokers
002824100,ABT.N,Abbott Laboratories,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution"
002824126,ABT_w.N^A13,Abbott Laboratories,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution"
00287Y109,ABBV.N,AbbVie Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
00288U106,ABCL.OQ,Abcellera Biologics Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
002896207,ANF.N,Abercrombie & Fitch Co,Consumer Cyclicals,Retailers,Specialty Retailers,Apparel & Accessories Retailers
00289Y107,,,,,,
00289Y115,ABEOW.OQ^L19,Abeona Therapeutics Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
00289Y206,ABEO.OQ,Abeona Therapeutics Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
00339B107,ABGX.OQ^D06,Amgen Fremont Inc,Financials,Banking & Investment Services,Banking Services,Corporate Financial Services
003654100,ABMD.OQ^L22,ABIOMED Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution"
003687100,ABH.TO^E09,Resolute Forest Products Inc,Basic Materials,Applied Resources,Paper & Forest Products,Paper Products
003687209,,,,,,
00370M103,ABVX.OQ,Abivax SA,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
00372Y105,ABLX.OQ^F18,Ablynx NV,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
00373V118,ABVEW.OQ,Above Food Ingredients Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Fishing & Farming
00374N107,ABVT.N^G12,AboveNet Inc,Technology,Telecommunications Services,Telecommunications Services,Integrated Telecommunications Services
003830106,,,,,,
00383E106,,,,,,
00383Y102,ABII.OQ^J10,Abraxis BioScience Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
00386B109,ABST.TO^G23,Absolute Software Corp (Pre-Merger),Technology,Software & IT Services,Software & IT Services,Software
003881307,ACTG.OQ,Acacia Research Corp,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services
003924107,A.TO^J07,Abitibi Consolidated Inc,Basic Materials,Applied Resources,Paper & Forest Products,Paper Products
00401C108,ACIA.OQ^C21,Acacia Communications Inc,Technology,Technology Equipment,Communications & Networking,Communications & Networking
00402L107,ASO.OQ,Academy Sports and Outdoors Inc,Consumer Cyclicals,Retailers,Specialty Retailers,Apparel & Accessories Retailers
00404A109,ACHC.OQ,Acadia Healthcare Company Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services
004225108,ACAD.OQ,ACADIA Pharmaceuticals Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
004239109,AKR.N,Acadia Realty Trust,Real Estate,Real Estate,Residential & Commercial REITs,Commercial REITs
004285102,,,,,,
004285110,,,,,,
004285201,ACAMU.OQ^A21,CarLotz Inc,Consumer Cyclicals,Retailers,Specialty Retailers,"Auto Vehicles, Parts & Service Retailers"
00430H102,,,,,,
00430U103,ACCL.OQ^D14,Biovia Corp,Technology,Software & IT Services,Software & IT Services,Software
00434H108,XLRN.OQ^K21,Acceleron Pharma Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
00436Q106,ACEL.N,Accel Entertainment Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Casinos & Gaming
00436Q114,ACEL_t.N^G20,Accel Entertainment Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Casinos & Gaming
00437E102,ACCD.OQ^D25,Accolade Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services
00437P107,LEND.OQ^L07,Accredited Home Lenders Holding Co,Financials,Banking & Investment Services,Banking Services,Banks
00438V103,,,,,,
00438Y107,ENER.OQ^L23,Accretion Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
004397105,ARAY.OQ,Accuray Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology
004398103,AURDQ.OB^C10,Accuride Corp,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts"
00439D102,AAQC.N^L22,Accelerate Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
00439D110,AAQCW.PK^L22,Accelerate Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
00439D201,AAQC_u.N^L22,Accelerate Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
00439T206,ACW.N^K16,Accuride Corp,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts"
00443E104,,,,,,
004446100,ACETQ.PK^J19,Tri Harbor Holdings Corp,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
004449104,AKAOQ.PK^F21,Achaogen Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
00444P108,ACER.PK^K23,Acer Therapeutics Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology
00444T100,,,,,,
00445A100,SLRN.OQ^E25,ACELYRIN Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
004468500,ACHV.OQ,Achieve Life Sciences Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
00448Q201,ACHN.OQ^A20,Achillion Pharmaceuticals Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
004498101,ACIW.OQ,ACI Worldwide Inc,Technology,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech)
00461U105,ACRS.OQ,Aclaris Therapeutics Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
004764106,APKT.OQ^D13,Acme Packet Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services
